"","ID","gene_name","rank_expr_norm","rank_pubmed_mean_norm","rank_tf_norm","rank_kinase_norm","rank_crisp_mean_norm","rank_crisp_min_norm","rank_expr_fold_change_norm","rank_is_TSG_norm","rank_GO_term_norm","rank_PPI_norm","SUM_RANK","is_oncogene"
"393","TCGA-BH-A1EV_15_34499699_35365520","ZNF770",0.75,0.29,1,0.54,0.46,0.58,0.67,0.54,0.58,0.54,5.95,0
"394","TCGA-BH-A1FM_14_102205460_103928819","PPP2R5C",0.81,0.56,0.53,0.44,0.5,0.62,0.66,0.53,0.56,0.53,5.74,0
"395","TCGA-BH-A1FM_14_102205460_103928819","DYNC1H1",0.94,0.47,0.53,0.44,1,0.94,0.66,0.53,0.75,0.53,6.79,0
"396","TCGA-BH-A1FM_14_102205460_103928819","HSP90AA1",1,1,0.53,0.44,0.75,0.69,1,0.53,0.25,0.53,6.72,1
"397","TCGA-BH-A1FM_14_102205460_103928819","WDR20",0.5,0.31,0.53,0.44,0.56,0.56,0.5,0.53,0.09,0.53,4.55,0
"398","TCGA-BH-A1FM_14_102205460_103928819","MOK",0.38,0.62,0.53,0.94,0.62,0.75,0.38,0.53,0.97,0.53,6.25,0
"399","TCGA-BH-A1FM_14_102205460_103928819","ZNF839",0.31,0.12,0.53,0.44,0.69,0.44,0.28,0.53,0.09,0.53,3.96,0
"400","TCGA-BH-A1FM_14_102205460_103928819","CINP",0.69,0.72,0.53,0.44,0.88,0.81,0.81,0.53,0.56,0.53,6.5,0
"401","TCGA-BH-A1FM_14_102205460_103928819","TECPR2",0.25,0.25,0.53,0.44,0.12,0.12,0.12,0.53,0.56,0.53,3.45,0
"402","TCGA-BH-A1FM_14_102205460_103928819","ANKRD9",0.19,0.12,0.53,0.44,0.44,0.38,0.19,0.53,0.81,0.53,4.16,0
"403","TCGA-BH-A1FM_14_102205460_103928819","RCOR1",0.62,0.47,0.53,0.44,0.81,0.88,0.94,0.53,0.38,0.53,6.13,0
"404","TCGA-BH-A1FM_14_102205460_103928819","AMN",0.06,0.81,0.53,0.44,0.25,0.25,0.75,0.53,0.56,0.53,4.71,0
"405","TCGA-BH-A1FM_14_102205460_103928819","CDC42BPB",0.56,0.38,0.53,0.94,0.06,0.31,0.28,0.53,0.19,0.53,4.31,0
"406","TCGA-BH-A1FM_14_102205460_103928819","EXOC3L4",0.12,0.12,0.53,0.44,0.31,0.06,0.56,0.53,0.56,0.53,3.76,0
"407","TCGA-BH-A1FM_14_102205460_103928819","TNFAIP2",0.88,0.94,0.53,0.44,0.19,0.19,0.88,0.53,0.97,0.53,6.08,0
"408","TCGA-BH-A1FM_14_102205460_103928819","EIF5",0.75,0.88,0.53,0.44,0.94,1,0.44,0.53,0.88,0.53,6.92,0
"409","TCGA-BH-A1FM_14_102205460_103928819","MARK3",0.44,0.72,0.53,0.94,0.38,0.5,0.06,0.53,0.31,0.53,4.94,0
"410","TCGA-BH-A203_6_113312089_114275606","MARCKS",0.5,0.5,0.75,0.75,1,0.5,0.5,0.75,0.5,0.75,6.5,0
"411","TCGA-BH-A203_6_113312089_114275606","HDAC2",1,1,0.75,0.75,0.5,1,1,0.75,1,0.75,8.5,1
"412","TCGA-BR-8484_7_97264565_98829666","TAC1",0.08,0.77,0.5,0.46,0.08,0.23,0.08,0.54,0.46,0.54,3.74,0
"413","TCGA-BR-8484_7_97264565_98829666","ASNS",0.85,0.92,0.5,0.46,0.85,0.92,0.46,0.54,0.31,0.54,6.35,0
"414","TCGA-BR-8484_7_97264565_98829666","OCM2",0.15,0.08,0.5,0.46,0.46,0.46,1,0.54,0.15,0.54,4.34,0
"415","TCGA-BR-8484_7_97264565_98829666","LMTK2",0.77,0.62,0.5,0.96,0.69,0.54,0.77,0.54,0.38,0.54,6.31,0
"416","TCGA-BR-8484_7_97264565_98829666","BHLHA15",0.38,0.31,1,0.46,0.77,0.85,0.31,0.54,0.85,0.54,6.01,0
"417","TCGA-BR-8484_7_97264565_98829666","TECPR1",0.54,0.15,0.5,0.46,0.54,0.31,0.54,0.54,0.77,0.54,4.89,0
"418","TCGA-BR-8484_7_97264565_98829666","BRI3",1,0.23,0.5,0.46,0.92,0.62,0.62,0.54,0.15,0.54,5.58,0
"419","TCGA-BR-8484_7_97264565_98829666","BAIAP2L1",0.92,0.54,0.5,0.46,0.23,0.15,0.92,0.54,0.62,0.54,5.42,0
"420","TCGA-BR-8484_7_97264565_98829666","NPTX2",0.23,0.69,0.5,0.46,0.15,0.08,0.15,0.54,1,0.54,4.34,0
"421","TCGA-BR-8484_7_97264565_98829666","TMEM130",0.31,0.38,0.5,0.46,0.31,0.38,0.23,0.54,0.15,0.54,3.8,0
"422","TCGA-BR-8484_7_97264565_98829666","TRRAP",0.62,0.85,0.5,0.96,1,1,0.69,0.54,0.69,0.54,7.39,1
"423","TCGA-BR-8484_7_97264565_98829666","SMURF1",0.69,1,0.5,0.46,0.62,0.77,0.38,0.54,0.92,0.54,6.42,0
"424","TCGA-BR-8484_7_97264565_98829666","KPNA7",0.46,0.46,0.5,0.46,0.38,0.69,0.85,0.54,0.54,0.54,5.42,0
"425","TCGA-C8-A12M_17_76472855_78090081","DNAH17",0.28,0.39,0.5,0.53,0.94,0.94,0.56,0.53,0.17,0.53,5.37,0
