gene_name rank count
NPAS3 10 1
PDCD6IP 24.5 2
SYT10 10 2
TBX20 41 2
FAM47A 10 1
EAPP 34.5 2
AP2B1 52 1
SIGMAR1 161 2
UBAP2 150 1
DCTN3 150 1
CEBPG 29 2
USF2 525 4
TBCB 514.5 2
UBA2 506.5 2
GPI 498.5 2
WDR62 486 2
COX6B1 482.5 4
TMEM147 480.5 4
HAUS5 472 2
KIAA1328 26.5 1
UNC5D 10 13
NPSR1 16 1
PSMA6 112 5
SRP54 104.5 2
CTD-2144E22.5 10 1
CAT 28.5 1
EHF 28.5 2
CD44 70 14
VCP 340 5
TLN1 338 8
CREB3 324 8
NPR2 310.5 4
SPTSSA 33.5 1
TRAF6 97.5 4
BRIX1 50.5 2
FAM47B 10 2
PARD3 10 1
FJX1 93.5 4
ARPP21 10 1
AATF 113 6
SRCIN1 108 3
HNF1B 78.5 4
CA9 197.5 1
TPM2 197.5 2
APLP1 345 1
LIN37 326.5 1
HAMP 374.5 1
TEAD3 39.5 1
EPM2AIP1 36.5 1
DMKN 314.5 1
SDHAF1 314.5 1
KRTDAP 311.5 1
FZD8 21 1
KCNU1 10 5
CLTA 52.5 1
GNE 52.5 1
RALGAPA1 22.5 1
ZNF703 31 12
DCLK1 55 1
MELK 25 1
TTI1 42 1
NUP155 41.5 1
WDR70 40.5 2
FAM47C 15.5 1
FKSG68 10 1
BRF2 50.5 5
PSMB3 92 2
RPL23 91 2
ASH2L 116.5 3
MEIS2 22 1
ZNF568 86 2
ZNF382 84 2
EIF4EBP1 72 2
FAM83D 45.5 1
ZNF569 168.5 1
DPF1 166 2
ZNF585A 156.5 2
ZNF33A 46 1
RPL19 46 1
ANKRD30A 10 1
ZFAND3 15.5 2
DYNLT3 57.5 1
TTC6 16.5 3
ZNF793 59.5 1
SPINT2 152 7
PSMD8 139 5
C19orf33 125.5 1
ZNF573 68 2
POSTN 17.5 1
SHB 35 1
MRPS12 273.5 3
HNRNPL 266.5 4
RYR1 258 3
DNAH8 85 3
GLO1 83 1
ALG10B 10 4
RFC1 65 2
TM2D2 48 8
SF3A3 37 1
ZNF37A 10 1
CLEC14A 21 1
PAK4 300 7
PAF1 290.5 3
DYRK1A 56 1
FBL 465.5 3
RPS16 440 6
PSMC4 436 1
SUPT5H 430 4
TACC1 86 3
ADAM9 75 2
VPS41 23 1
PNN 76.5 3
KRT10 356.5 1
KRT20 354.5 2
KRT12 349 1
KRT222 341 1
KRT24 337.5 1
CPNE8 10 1
ADAM32 22 2
KRT19 436.5 4
JUP 434 12
HAP1 426 2
EIF1 424.5 10
FKBP10 420.5 1
KRT15 416 1
KRTAP16-1 244.5 1
KRT23 237.5 1
KRT40 230 2
KRTAP2-3 216 1
KRT31 359.5 2
KRT39 353 1
KCNK5 50 1
ACLY 434.5 6
KLHL11 417.5 3
ADAM18 10 1
PRKAA1 57 2
KIF21A 20.5 1
RPL9 58.5 1
KRT33B 149.5 1
KRT34 146.5 1
KRT14 268.5 2
KRT13 262.5 1
FREM2 29.5 1
ZMAT4 40 9
PIK3C3 10 2
ABCD2 30 1
ADAM2 29.5 3
KRT9 153 1
NFYA 115.5 1
FOXP4 106.5 1
PABPC4 61.5 1
BMP8B 61.5 1
IDO1 35 7
CTAGE5 23 1
RIT2 20.5 2
C8orf4 16.5 2
CHRNA9 10 2
GINS4 42.5 4
RPL37 36.5 3
LRRK2 31 3
HMGN1 53 1
MYBL2 419.5 6
ADA 368 1
STK4 364.5 5
SRSF6 361.5 4
YWHAB 360.5 3
RBPJL 349.5 3
LRRC4C 10 3
USP9X 17.5 1
EGLN2 118 1
BLVRB 116 1
SGK2 252.5 2
ELF1 82 1
MRPS31 76.5 1
ZCRB1 54.5 1
EML4 60 1
CNTN1 10 3
LRFN5 10 2
OIP5 38 1
GUCA2A 45 1
GLI3 10 2
HIVEP3 16 1
PSMA2 31 2
YBX1 125.5 2
SLC2A1 111.5 1
UBR2 77 1
TBCC 76 1
HNF4A 250.5 2
THAP1 77.5 4
SLC20A2 72 1
CCDC152 21 1
EBNA1BP2 130.5 1
PPHLN1 35 1
BMS1 16 2
EPG5 39.5 1
FNTA 37.5 1
ZNF428 213 1
CADM4 210 1
PAFAH1B3 208.5 1
LIPE 195 1
HAUS2 103 1
CDAN1 102 1
TUBGCP4 102 1
API5 17.5 1
HMGCS1 56 2
HGSNAT 10 1
TWF1 37.5 3
PLEKHM1 28.5 2
FUNDC1 46 1
ARHGAP27 28.5 1
NSF 109 5
KANSL1 97 1
GOSR2 97 1
HAUS1 87 1
PIAS2 83 2
NDP 29.5 1
STK17A 20.5 1
BLVRA 20.5 1
UBE2C 358 2
DNTTIP1 312.5 2
NCOA5 312 1
ENOX1 10 1
NDUFB11 86.5 1
ZNF674 82 3
ALKBH3 50 1
POLD2 78 2
MRPS24 68 1
SYS1 138.5 1
WFDC2 134.5 1
HSP90AB1 86.5 2
CDC5L 85 2
ALX4 21 1
DDX56 105.5 1
YKT6 101.5 1
IER3IP1 72.5 1
PPIA 135 1
GUF1 29 1
SUPT3H 10 2
RASSF4 61.5 1
MRPS30 17.5 1
TP53RK 82.5 1
ELMO2 81.5 1
CDC27 84.5 2
RUNX2 48 5
NELL2 16.5 1
PLA2G7 87.5 5
CHST7 33.5 1
MDK 127 1
SLC35C1 111 2
ZBTB7C 10 2
ARHGAP8 59 1
NUP50 59 1
DBX2 16.5 1
ZNF22 70.5 2
IGFBP3 23 1
SMAD7 23.5 4
SPATA5L1 59 1
WNT7B 119.5 1
GTSE1 116.5 2
LIMD1 108.5 1
CCR1 107.5 1
CDK5RAP3 105.5 6
NFE2L1 104.5 9
HOXB9 180 3
SP2 176 5
KRBOX4 15 1
ATXN10 82.5 1
PRAC1 251.5 1
SNF8 241.5 5
CTIF 15 1
ERCC1 159.5 1
SNRPD2 157.5 1
SYMPK 155.5 2
HOXB7 225 3
TNFRSF21 68.5 1
SLC38A1 28.5 1
SLC38A2 28.5 5
HOXB5 194.5 1
AC011294.3 10 1
ANXA8L1 59.5 1
TNS3 23 1
FOXA3 102 1
SULF2 10 1
CSE1L 22 3
SLC38A4 10 1
SLC35B1 116.5 1
SPIDR 10 1
IGF2BP1 59.5 1
DUT 58.5 1
ZNF652 54 1
DDX27 103.5 1
AMIGO2 15.5 1
OPN5 22 2
CD2AP 22 1
PTCHD4 15.5 1
RPS29 123 1
ARF6 121 2
SIAH1 26.5 1
CEBPB 70.5 3
PARD6B 79 3
UBE2V1 75 1
SNAI2 44.5 6
NME2 156 2
UTP18 140.5 8
TOB1 140 1
ABCA13 10 2
ZNF641 34 1
KANSL2 46.5 1
MCM4 38.5 1
VWC2 21 1
ZPBP 21 1
COPS2 44.5 2
DBP 151 1
RPL18 142 1
SULT2B1 135.5 1
CENPQ 60.5 2
FSHR 10 1
EMB 17.5 3
CA10 25 5
GABPB1 60.5 1
DEFB114 45.5 1
TFAP2D 57 2
RACGAP1 107.5 1
ASIC1 99.5 1
NUDT11 36 1
PIM3 269.5 1
SCO2 259 1
MAPK8IP2 237 1
ARSA 235 1
NUDT10 23 1
NRXN1 10 2
NOD2 27 1
PKHD1 23 2
C17orf112 16 4
ZFP64 10 2
GRB10 15.5 1
SNTG1 10 2
DIP2B 15.5 1
COBL 10 2
AC102948.2 15 1
KIF2B 15.5 5
OR4A5 10 1
WDFY2 40.5 1
OR4C46 16 1
POM121L12 10 9
ZNF577 276 2
ZNF83 262 1
ZNF350 260 2
ETFB 254.5 1
TOX3 17.5 1
SCN8A 16.5 1
MAPK6 98.5 1
ARPP19 98.5 3
MCM3 78 2
GSTA1 70 1
TFPT 459.5 1
PRPF31 456 2
RPS9 450.5 2
TMC4 443.5 2
ZNF649 434.5 1
CHD9 16.5 2
NID2 35.5 1
COX11 23 1
GNB5 25.5 1
MYO5C 25.5 1
BTF3L4 30 1
PFDN4 28.5 1
SGCB 31.5 1
KRT6A 92.5 1
KRT6B 91.5 1
PSMC6 57 1
ARL15 10 1
SNX18 27.5 1
VSTM2A 10 4
DKK1 23.5 2
CBLN4 10 1
PRKG1 10 1
