gene	pubmed_invasion	pubmed_cancer	pubmed_growth	pubmed_migration	pubmed_prolifiration
ACOT11	0	5	0	0	2
ACOT12	0	4	0	0	1
ACOT13	0	2	0	0	1
ACOT2	0	4	0	0	1
ACOT4	0	5	0	1	1
ACOT6	0	0	0	0	0
ACOT7	0	10	1	0	3
ACOT8	0	6	2	0	0
ACOT9	0	0	0	0	3
ACOX1	0	31	3	1	11
ACOX2	0	12	0	0	2
ACOX3	0	8	0	0	2
ACOXL	1	4	0	0	0
ACP1	0	21	5	4	9
ACP2	0	5	2	0	1
ACP5	1	24	5	8	7
ACP6	0	2	0	0	0
ACPL2	0	0	0	0	0
ACPP	0	35	7	1	5
ACPT	0	4	1	0	2
ACR	0	809	18	11	44
ACRBP	0	12	1	0	2
ACRC	0	89	0	0	1
ACRV1	0	1	0	0	0
ACSBG1	0	4	0	0	1
ACSBG2	0	1	0	0	0
ACSF2	0	5	0	0	0
ACSF3	0	3	0	0	0
ACSL1	0	50	5	3	10
ACSL3	0	42	3	3	7
ACSL4	2	110	8	6	32
ACSL5	0	30	2	3	6
ACSL6	0	12	2	2	2
ACSM1	1	8	0	0	1
ACSM2A	0	0	0	0	0
ACSM2B	0	0	0	0	1
ACSM3	0	9	0	2	4
ACSM4	0	1	0	0	0
ACSM5	0	4	0	0	1
ACSS1	0	15	2	0	2
ACSS2	1	54	8	5	15
ACSS3	0	7	1	0	0
ACTA1	0	19	3	2	8
ACTA2	7	123	16	32	56
ACTB	1	231	14	12	22
ACTBL2	0	6	0	0	0
ACTC1	0	23	2	5	5
ACTG1	0	31	3	4	9
ACTG2	0	23	2	1	5
ACTL10	0	2	0	0	0
ACTL6A	1	22	1	2	9
ACTL6B	1	5	0	0	1
ACTL7A	0	4	0	0	0
ACTL7B	0	0	0	0	0
ACTL8	0	12	0	0	3
ACTL9	0	0	0	0	0
ACTN1	1	22	0	4	8
ACTN2	0	10	0	2	2
ACTN4	8	77	9	14	19
ACTR10	0	1	1	0	0
ACTR1A	0	4	0	0	0
ACTR1B	0	0	0	0	1
ACTR2	0	12	2	2	2
ACTR3	0	12	1	4	2
ACTR3B	0	2	0	0	1
ACTR3C	0	1	0	0	0
ACTR5	0	0	0	0	0
ACTR6	0	2	0	0	0
ACTR8	0	0	0	0	0
ACTRT1	0	2	0	0	0
ACTRT2	0	0	0	0	0
ACTRT3	0	0	0	0	0
ACVR1	4	42	5	3	16
ACVR1B	0	23	0	1	3
ACVR1C	0	5	0	0	3
ACVR2A	2	48	3	4	12
ACVR2B	0	36	3	1	13
ACVRL1	1	29	1	3	9
ACY1	0	13	3	0	1
ACY3	0	2	0	0	0
ACYP1	0	5	0	0	1
ACYP2	0	31	0	1	1
AD000671.6	0	0	0	0	0
ADA	1	385	41	16	82
ADAD1	0	2	0	0	0
ADAD2	0	2	0	0	0
ADAL	0	1	0	0	0
ADAM10	22	280	26	81	86
ADAM11	0	2	2	2	2
ADAM12	13	137	12	18	32
ADAM15	4	43	4	18	11
ADAM17	34	383	25	79	107
ADAM18	0	1	1	0	1
ADAM19	4	23	4	12	8
ADAM2	0	9	0	0	0
ADAM20	0	2	0	0	0
ADAM21	0	2	0	0	0
ADAM22	0	9	2	2	3
ADAM23	2	36	3	3	6
ADAM28	0	32	5	4	24
ADAM29	0	13	0	0	2
ADAM30	0	1	0	0	0
ADAM32	0	3	0	1	1
ADAM33	1	13	2	4	8
ADAM7	0	2	0	0	1
ADAM8	6	65	9	15	12
ADAM9	18	156	11	34	54
ADAMDEC1	0	16	1	3	2
ADAMTS1	12	86	2	24	23
ADAMTS10	0	5	0	2	3
ADAMTS12	3	26	0	4	3
ADAMTS13	0	57	0	4	6
ADAMTS14	0	15	0	2	1
ADAMTS15	0	12	0	3	2
ADAMTS16	2	12	3	3	3
ADAMTS17	0	5	1	1	2
ADAMTS18	0	17	1	2	6
ADAMTS19	0	5	0	1	0
ADAMTS2	1	18	1	2	2
ADAMTS20	0	8	0	2	2
ADAMTS3	0	7	0	2	2
ADAMTS4	0	13	2	9	14
ADAMTS5	2	33	4	11	34
ADAMTS6	0	11	1	3	3
ADAMTS7	0	5	0	8	3
ADAMTS8	2	21	2	1	10
ADAMTS9	2	95	9	13	28
ADAMTSL1	0	5	1	0	2
ADAMTSL2	0	2	0	2	0
ADAMTSL3	0	8	0	1	0
ADAMTSL4	0	4	0	3	0
ADAMTSL4-AS1	0	0	0	0	0
ADAMTSL5	0	4	0	1	0
ADAP1	1	7	1	2	2
ADAP2	0	4	1	1	2
ADAR	1	145	7	6	15
ADARB1	1	10	1	0	3
ADARB2	0	9	0	1	2
ADAT1	0	0	0	0	0
ADAT2	0	2	0	0	0
ADAT3	0	1	0	0	0
ADC	8	5592	62	17	164
ADCK1	0	1	0	0	0
ADCK2	0	4	0	1	0
ADCK3	0	0	0	0	0
ADCK4	0	0	0	0	1
ADCK5	0	1	0	0	0
ADCY1	0	16	0	1	5
ADCY10	0	2	0	0	0
ADCY2	0	21	0	1	2
ADCY3	0	13	0	2	3
ADCY4	0	7	0	0	1
ADCY5	0	16	1	0	4
ADCY6	0	13	1	0	2
ADCY7	0	6	1	1	0
ADCY8	0	9	0	1	0
ADCY9	0	19	0	1	1
ADCYAP1	0	14	0	0	1
ADCYAP1R1	0	4	1	0	0
ADD1	0	11	4	3	5
ADD2	0	4	0	0	0
ADD3	1	15	2	9	6
ADGB	1	3	0	0	1
ADH1A	0	21	0	0	1
ADH1B	0	182	1	0	9
ADH4	0	24	0	0	1
ADH5	0	18	0	1	3
ADH6	0	12	1	0	0
ADH7	0	25	1	0	0
ADHFE1	0	25	1	0	2
ADI1	0	8	2	1	4
ADIG	0	0	0	0	0
ADIPOQ	0	158	10	2	41
ADIPOR1	3	132	13	7	52
ADIPOR2	1	91	10	6	40
ADIRF	0	6	0	0	0
ADK	1	51	12	0	10
ADM	17	1393	104	28	154
ADM2	3	6	2	1	3
ADM5	0	1	0	0	0
ADNP	0	15	1	2	6
ADNP2	0	1	0	0	0
ADO	2	352	24	5	41
ADORA1	0	25	5	1	5
ADORA2A	2	31	3	4	6
ADORA2B	2	17	1	1	7
ADORA3	0	9	1	1	1
ADPGK	1	19	0	1	5
ADPRH	0	0	0	0	0
ADPRHL1	0	6	0	1	1
ADPRHL2	0	2	0	0	0
ADPRM	0	0	1	0	0
ADRA1A	0	14	1	0	0
ADRA1B	0	8	1	0	3
ADRA1D	0	6	0	0	1
ADRA2A	0	18	0	0	6
ADRA2B	0	10	0	0	2
ADRA2C	0	5	0	0	2
ADRB1	0	21	1	2	4
ADRB2	1	98	3	3	13
ADRB3	0	17	1	1	2
ADRBK1	0	2	2	1	2
